model,year,transmission,mileage,fuel type,engine size,price
 A6,2016.0,Semi-Auto,63105.0,Diesel,2.0,16000.0
 Q3,2015.0,Semi-Auto,49652.0,Diesel,2.0,14791.0
 Focus,2017.0,Automatic,21890.0,22,1.997,11995.0
 C Class,2019.0,Automatic,5904.0,Diesel,2.0,28990.0
 Focus,2019.0,Automatic,6428.0,Diesel,2.0,20950.0
 Focus,2019.0,Manual,1714.0,Petrol,1.0,17410.0
 C Class,2019.0,Semi-Auto,10925.0,Diesel,2.0,20849.0
 Q5,2016.0,Automatic,73156.0,Diesel,3.0,23795.0
 A5,2019.0,Automatic,4000.0,Diesel,2.0,27761.0
 Focus,2019.0,Automatic,13743.0,Petrol,1.0,17498.0
 Focus,2019.0,Manual,8686.0,Diesel,1.5,19790.0
 Q5,2019.0,Semi-Auto,44.0,Petrol,2.0,34998.0
 Focus,2016.0,Manual,18646.0,36,2.0,15795.0
 A1,2019.0,Manual,3863.0,Petrol,1.0,20444.0
 Focus,2017.0,Manual,13000.0,Petrol,2.0,18199.0
 A5,2017.0,Semi-Auto,19300.0,Diesel,2.0,19495.0
 C Class,2017.0,Semi-Auto,22437.0,Petrol,3.0,30124.0
 Focus,2019.0,Automatic,7846.0,Diesel,2.0,21680.0
 C Class,2019.0,Automatic,3250.0,Petrol,1.5,24199.0
 A1,2020.0,Manual,2500.0,Petrol,1.0,18500.0
 A6,2015.0,Semi-Auto,22540.0,Diesel,2.0,18498.0
 A4,2017.0,Semi-Auto,16508.0,Petrol,1.4,20900.0
 A1,2014.0,Manual,47050.0,Petrol,1.4,8950.0
 Focus,2017.0,Manual,32746.0,Diesel,1.5,11750.0
 Q3,2015.0,Semi-Auto,29838.0,Petrol,2.0,21495.0
 Focus,2017.0,Manual,28113.0,26,2.0,16250.0
 C Class,2017.0,Automatic,23183.0,Diesel,2.1,23290.0
 A5,2019.0,Automatic,14713.0,Petrol,2.0,25419.0
 Focus,2019.0,Manual,12677.0,Petrol,1.0,16450.0
 RS6,2017.0,Automatic,18881.0,Petrol,4.0,61490.0
 A4,2017.0,Manual,32997.0,Diesel,2.0,18998.0
 A3,2020.0,Semi-Auto,3925.0,Petrol,1.5,30777.0
 A4,2017.0,Manual,54983.0,Diesel,2.0,14788.0
 Focus,2016.0,Manual,42060.0,Petrol,2.0,15698.0
 Focus,2019.0,Manual,10805.0,Diesel,1.5,16090.0
 C Class,2015.0,Automatic,79950.0,37,2.1,13260.0
 Q2,2019.0,Manual,1000.0,Diesel,1.6,19450.0
 C Class,2014.0,Manual,23000.0,31,2.0,14491.0
 Q5,2020.0,Semi-Auto,1986.0,Diesel,2.0,38888.0
 Focus,2018.0,Manual,19254.0,Petrol,2.0,17970.0
 Focus,2019.0,Manual,2492.0,Petrol,1.0,17217.0
 A3,2015.0,Semi-Auto,38000.0,Diesel,2.0,11900.0
 TT,2017.0,Manual,33105.0,Petrol,1.8,16995.0
 Focus,2018.0,Manual,14682.0,Petrol,2.0,18499.0
 Q5,2019.0,Semi-Auto,2343.0,Diesel,2.0,31395.0
 A3,2015.0,Automatic,72260.0,Hybrid,1.4,11295.0
 Focus,2019.0,Manual,4127.0,Diesel,2.0,27490.0
 C Class,2017.0,Automatic,37484.0,31,2.1,17490.0
 Focus,2017.0,Manual,24450.0,Diesel,1.5,12200.0
 A5,2019.0,Automatic,10.0,Petrol,2.0,28991.0
 A1,2015.0,Manual,22148.0,Petrol,2.0,15888.0
 Q2,2017.0,Manual,16202.0,Petrol,1.4,17991.0
 C Class,2015.0,Manual,15000.0,31,2.1,16995.0
 A6,2017.0,Semi-Auto,34029.0,Diesel,2.0,21290.0
 Q3,2019.0,Manual,7500.0,Diesel,2.0,25990.0
 Q3,2017.0,Automatic,22036.0,Petrol,1.4,22950.0
 Focus,2015.0,Manual,65000.0,Diesel,1.5,8000.0
 Focus,2018.0,Manual,9022.0,Petrol,1.0,12900.0
 Focus,2017.0,Manual,17573.0,Petrol,2.0,17291.0
 Q3,2015.0,Manual,37182.0,Diesel,2.0,16450.0
 Focus,2016.0,Manual,41394.0,Diesel,1.5,10955.0
 Focus,2016.0,Manual,58665.0,Diesel,1.5,8750.0
 Q2,2017.0,Automatic,26821.0,Petrol,1.4,19790.0
 Focus,2016.0,Manual,17915.0,11,1.0,9691.0
 Focus,2005.0,Manual,121000.0,17,1.999,675.0
 A3,2015.0,Manual,72406.0,Diesel,2.0,13795.0
 Focus,2019.0,Manual,15272.0,Petrol,1.0,16425.0
 Q5,2019.0,Semi-Auto,1154.0,Diesel,2.0,32790.0
 Focus,2012.0,Manual,59000.0,11,1.6,5995.0
 TT,2019.0,Semi-Auto,3098.0,Petrol,2.0,37950.0
 Focus,2019.0,Manual,5002.0,Petrol,1.0,17300.0
 A6,2017.0,Automatic,28700.0,Diesel,2.0,22950.0
 A1,2016.0,Manual,24001.0,Petrol,1.4,11698.0
 A3,2017.0,Semi-Auto,18052.0,Diesel,2.0,18200.0
 A1,2013.0,Manual,57465.0,Diesel,1.6,8354.0
 C Class,2019.0,Semi-Auto,1000.0,Petrol,1.5,31519.0
 A5,2017.0,Manual,40993.0,Diesel,2.0,20990.0
 C Class,2017.0,Semi-Auto,16093.0,Diesel,2.1,21362.0
 A1,2016.0,Manual,36120.0,Diesel,1.6,10995.0
 C Class,2019.0,Semi-Auto,1000.0,Petrol,1.5,27299.0
 Focus,2013.0,Manual,83772.0,15,1.6,4999.0
 A6,2015.0,Manual,35921.0,Diesel,2.0,13495.0
 Focus,2017.0,Manual,11909.0,Petrol,2.0,19320.0
 Focus,2009.0,Manual,68500.0,10,1.6,2950.0
 Focus,2018.0,Manual,15761.0,Petrol,2.0,18999.0
 Focus,2010.0,Manual,28000.0,15,1.56,6495.0
 C Class,2018.0,Automatic,20512.0,31,1.991,18750.0
 A1,2016.0,Manual,40172.0,Petrol,1.0,10233.0
 A8,2016.0,Semi-Auto,33620.0,Diesel,3.0,21965.0
 Q2,2017.0,Manual,25213.0,Petrol,1.4,16789.0
 A3,2020.0,Manual,1978.0,Petrol,1.0,16999.0
 Q5,2019.0,Semi-Auto,2910.0,Petrol,2.0,38990.0
 Q2,2019.0,Manual,100.0,Diesel,1.6,23990.0
 A5,2016.0,Automatic,41677.0,Petrol,3.0,24991.0
 A3,2018.0,Semi-Auto,21825.0,Petrol,2.0,25472.0
 A4,2016.0,Automatic,54000.0,Diesel,2.0,11490.0
 Focus,2018.0,Manual,22727.0,Petrol,2.0,18050.0
 Focus,2018.0,Manual,21675.0,Petrol,2.0,18367.0
 Focus,2017.0,Manual,16000.0,Diesel,1.5,10250.0
 Focus,2018.0,Manual,11785.0,Petrol,1.0,12990.0
 Focus,2019.0,Automatic,5662.0,Diesel,2.0,22510.0
 Focus,2017.0,Manual,32688.0,Petrol,1.0,9497.0
 Focus,2016.0,Manual,25544.0,16,1.5,10061.0
 Focus,2019.0,Manual,10050.0,Petrol,1.0,14499.0
 Q3,2020.0,Automatic,1500.0,Petrol,0.0,30000.0
 Focus,2019.0,Automatic,1704.0,Petrol,1.5,18791.0
 C Class,2017.0,Automatic,17980.0,Diesel,2.1,17400.0
 A1,2017.0,Manual,28502.0,Petrol,1.4,13195.0
 Focus,2017.0,Manual,22511.0,14,1.0,10995.0
 Q5,2019.0,Semi-Auto,3263.0,Diesel,2.0,36888.0
 Q2,2019.0,Manual,3184.0,Petrol,1.5,20956.0
 Focus,2008.0,Manual,50000.0,19,1.999,3695.0
 Q5,2013.0,Automatic,84000.0,Diesel,3.0,17000.0
 Focus,2017.0,Automatic,21693.0,Petrol,0.999,10799.0
 Q3,2019.0,Automatic,10.0,Diesel,2.0,34485.0
 Focus,2013.0,Manual,93000.0,15,1.56,3995.0
 A4,2016.0,Manual,52557.0,Diesel,2.0,13797.0
 Q3,2016.0,Semi-Auto,35292.0,Diesel,2.0,18995.0
 Q3,2016.0,Semi-Auto,29241.0,Petrol,2.0,19990.0
 A3,2017.0,Semi-Auto,16583.0,Petrol,2.0,21495.0
 Focus,2019.0,Automatic,1478.0,Petrol,1.0,17499.0
 A3,2014.0,Manual,44015.0,Diesel,2.0,10800.0
 Focus,2012.0,Manual,79094.0,11,1.6,5795.0
 C Class,2019.0,Semi-Auto,14422.0,Petrol,1.5,19799.0
 C Class,2016.0,Automatic,23000.0,Diesel,2.143,18990.0
 Focus,2017.0,Manual,38697.0,11,1.0,10399.0
 Q2,2020.0,Manual,1276.0,Petrol,1.5,23481.0
 Q3,2019.0,Semi-Auto,14600.0,Petrol,1.5,32390.0
 Focus,2018.0,Manual,17127.0,Petrol,2.0,19000.0
 Q3,2020.0,Automatic,998.0,Diesel,2.0,32950.0
 C Class,2019.0,Semi-Auto,1362.0,Diesel,2.0,32699.0
 A4,2017.0,Manual,23000.0,Diesel,2.0,17500.0
 A5,2019.0,Automatic,9200.0,Petrol,2.0,28990.0
 Q2,2019.0,Automatic,6826.0,Petrol,2.0,28490.0
 Focus,2018.0,Manual,10000.0,Petrol,1.0,11618.0
 Q2,2018.0,Manual,20313.0,Petrol,1.0,16990.0
 Focus,2017.0,Automatic,9137.0,Petrol,1.0,14000.0
 A4,2018.0,Automatic,11775.0,Petrol,3.0,30450.0
 A3,2018.0,Manual,17547.0,Petrol,1.5,15995.0
 Focus,2015.0,Manual,32245.0,14,1.0,9500.0
 Focus,2018.0,Automatic,8000.0,Diesel,2.0,19444.0
 Q2,2019.0,Manual,6000.0,Petrol,1.5,25490.0
 Focus,2015.0,Manual,59201.0,15,1.6,7350.0
 C Class,2019.0,Automatic,3700.0,Diesel,2.0,39790.0
 Q7,2019.0,Semi-Auto,10492.0,Diesel,3.0,41750.0
 Focus,2018.0,Manual,12900.0,Petrol,1.0,15490.0
 A4,2017.0,Automatic,20291.0,Diesel,2.0,18900.0
 Focus,2016.0,Manual,40580.0,Diesel,1.5,8700.0
 TT,2015.0,Semi-Auto,46500.0,Petrol,2.0,16990.0
 Q2,2017.0,Semi-Auto,28000.0,Petrol,1.4,16995.0
 A5,2017.0,Automatic,29500.0,Diesel,2.0,19985.0
 C Class,2019.0,Automatic,5376.0,Petrol,2.0,29990.0
 A1,2017.0,Semi-Auto,15663.0,Petrol,1.4,14790.0
 Focus,2015.0,Manual,59260.0,Diesel,1.498,7695.0
 Focus,2016.0,Manual,24121.0,Petrol,0.999,10489.0
 TT,2019.0,Semi-Auto,3827.0,Petrol,2.0,29562.0
 A1,2016.0,Automatic,10104.0,Petrol,1.4,13999.0
 A5,2016.0,Manual,32000.0,Diesel,2.0,15995.0
 C Class,2016.0,Automatic,47915.0,30,2.143,13800.0
 Focus,2019.0,Manual,6370.0,Petrol,1.0,17495.0
 Focus,2017.1490190205182,Manual,10421.0,Petrol,1.0,10495.0
 Focus,2017.0,Manual,21582.0,Diesel,1.5,11000.0
 C Class,2015.0,Automatic,73960.0,32,2.143,14000.0
 C Class,2015.0,Semi-Auto,9601.0,Petrol,2.0,17901.0
 C Class,2018.0,Semi-Auto,6983.0,Diesel,2.1,25750.0
 Q5,2019.0,Automatic,5027.0,Diesel,2.0,34000.0
 A3,2016.0,Manual,25955.0,Petrol,1.4,17490.0
 Q3,2014.0,Semi-Auto,23340.0,Petrol,2.0,17998.0
 TT,2020.0,Semi-Auto,5000.0,Petrol,2.0,43990.0
 Focus,2017.0,Manual,13318.0,Petrol,1.0,12000.0
 C Class,2019.0,Semi-Auto,1000.0,Petrol,1.5,35049.0
 Focus,2017.0,Manual,41600.0,Diesel,1.499,10499.0
 A4,2020.0,Automatic,3000.0,Diesel,3.0,43000.0
 A5,2019.0,Semi-Auto,100.0,Petrol,2.0,28880.0
 Q5,2019.0,Automatic,6000.0,Diesel,2.0,29975.0
 Q2,2018.0,Manual,31612.0,Diesel,1.6,17990.0
 Focus,2017.0,Manual,17445.0,Petrol,1.0,11899.0
 Q2,2019.0,Manual,1500.0,Petrol,1.0,19990.0
 C Class,2017.0,Manual,59038.0,Diesel,2.1,14698.0
 C Class,2017.0,Automatic,30612.0,Diesel,2.1,16299.0
 A3,2016.0,Manual,60901.0,Diesel,2.0,9712.0
 Focus,2017.0,Semi-Auto,47018.0,Petrol,1.0,10490.0
 A8,2019.0,Automatic,4850.0,Diesel,3.0,38990.0
 C Class,2019.0,Semi-Auto,7749.0,Petrol,3.0,40749.0
 Q7,2019.0,Semi-Auto,9044.0,Diesel,3.0,47500.0
 Focus,2015.0,Semi-Auto,18683.0,14,1.6,9495.0
 A7,2016.0,Semi-Auto,27386.0,Diesel,3.0,19990.0
 C Class,2019.0,Semi-Auto,9174.0,Petrol,1.5,24600.0
 Focus,2018.0,Automatic,10999.0,Petrol,1.0,14575.0
 C Class,2019.0,Automatic,12725.0,Petrol,1.5,26995.0
 A4,2019.0,Automatic,6032.0,Petrol,2.0,26495.0
 Q5,2015.0,Automatic,73010.0,Diesel,2.0,17000.0
 Focus,2018.0,Manual,18300.0,Petrol,1.0,12995.0
 Q5,2015.0,Automatic,53990.0,Diesel,2.0,16638.0
 A5,2019.0,Semi-Auto,5432.0,Petrol,2.0,34444.0
 A4,2017.0,Automatic,11750.0,Petrol,1.4,21000.0
 C Class,2016.0,Manual,21553.0,25,1.6,15067.0
 A6,2017.0,Semi-Auto,37225.0,Diesel,3.0,30990.0
 Focus,2017.0,Manual,18116.0,Diesel,1.499,12000.0
 Focus,2017.0,Automatic,20733.0,14,1.0,11500.0
 C Class,2019.0,Semi-Auto,15933.0,Petrol,1.5,20980.0
 TT,2002.0,Manual,99000.0,Petrol,1.8,2876.0
 A1,2019.0,Manual,5696.0,Petrol,0.0,19500.0
 A6,2015.0,Semi-Auto,82725.0,Diesel,3.0,18498.0
 Focus,2016.0,Manual,39417.0,Diesel,1.5,10000.0
 Focus,2018.0,Manual,20595.0,Diesel,1.5,11991.0
 A5,2013.0,Manual,46197.0,Diesel,2.0,11500.0
 C Class,2020.0,Semi-Auto,16.0,Diesel,2.0,32480.0
 A4,2018.0,Manual,13972.0,Petrol,1.4,17298.0
 A4,2016.0,Semi-Auto,52121.0,Diesel,2.0,17490.0
 Focus,2019.0,Automatic,9790.0,Petrol,1.0,16200.0
 A3,2019.0,Manual,6000.0,Petrol,1.5,24990.0
 Focus,2017.0,Semi-Auto,15000.0,14,1.0,12429.0
 C Class,2018.0,Semi-Auto,15900.0,31,2.0,20690.0
 Focus,2019.0,Automatic,13030.0,Petrol,1.0,17498.0
 A6,2016.0,Manual,34000.0,Diesel,2.0,16450.0
 A3,2014.0,Manual,43662.0,Diesel,2.0,11600.0
 Focus,2019.0,Manual,12100.0,Petrol,1.0,15270.0
 Q5,2019.0,Automatic,6500.0,Diesel,2.0,32000.0
 Focus,2015.0,Semi-Auto,43450.0,14,1.6,8465.0
 C Class,2019.0,Manual,890.0,Diesel,1.6,26499.0
 Focus,2014.0,Manual,52544.0,15,1.6,7298.0
 Focus,2019.0,Manual,3000.0,Diesel,1.5,19500.0
 A5,2020.0,Semi-Auto,2998.0,Diesel,2.0,32981.0
 A6,2019.0,Automatic,1500.0,Diesel,3.0,43695.0
 C Class,2019.0,Automatic,10415.0,Diesel,2.0,27036.0
 C Class,2020.0,Semi-Auto,100.0,Diesel,2.0,34500.0
 A3,2019.0,Semi-Auto,4641.0,Petrol,2.0,29900.0
 A3,2017.0,Manual,31494.0,Diesel,2.0,16500.0
 A5,2019.0,Manual,8000.0,Petrol,2.0,24995.0
 A3,2016.0,Manual,25556.0,Petrol,1.4,14991.0
 C Class,2020.0,Semi-Auto,100.0,Diesel,2.0,30500.0
 A3,2016.0,Automatic,34078.0,Diesel,2.0,14299.0
 Q3,2016.0,Semi-Auto,32971.0,Diesel,2.0,17498.0
 A3,2019.0,Semi-Auto,3300.0,Diesel,2.0,24950.0
 A4,2016.0,Manual,32073.0,Diesel,2.0,13799.0
 RS4,2014.0,Semi-Auto,58460.0,Petrol,4.2,26490.0
 Focus,2015.0,Manual,49605.0,24,2.0,12991.0
 A4,2014.0,Manual,58200.0,Diesel,2.0,12490.0
 A4,2013.0,Manual,50577.0,Diesel,2.0,9499.0
 Focus,2019.0,Manual,7620.0,Petrol,1.0,14540.0
 A4,2017.0,Semi-Auto,84222.0,Diesel,2.0,13985.0
 Q3,2016.0,Automatic,42811.0,Diesel,2.0,18000.0
 A3,2013.0,Manual,62090.0,Diesel,2.0,8899.0
 Focus,2017.0,Manual,17339.0,Petrol,1.0,11000.0
 C Class,2019.0,Semi-Auto,2874.0,Diesel,2.0,29649.0
 A6,2014.0,Semi-Auto,84000.0,Diesel,3.0,12691.0
 Focus,2019.0,Manual,5668.0,Petrol,1.0,17995.0
 Q2,2019.0,Manual,6921.0,Petrol,1.0,22997.0
 A5,2019.0,Semi-Auto,2459.0,Petrol,2.0,25990.0
 C Class,2016.0,Automatic,34587.0,Petrol,3.0,31342.0
 C Class,2019.0,Automatic,13479.0,Petrol,1.497,24748.0
 C Class,2014.0,Automatic,56346.0,31,2.143,13000.0
 A1,2016.0,Semi-Auto,19687.0,Petrol,1.4,14998.0
 Focus,2017.0,Manual,32746.0,Diesel,1.5,11750.0
 C Class,2017.0,Automatic,29814.0,Diesel,2.1,16595.0
 C Class,2016.0,Semi-Auto,10581.0,25,1.6,17981.0
 Focus,2018.0,Semi-Auto,21900.0,Diesel,2.0,17400.0
 C Class,2014.0,Manual,92840.0,31,2.143,11795.0
 Focus,2018.0,Manual,14277.0,26,2.0,18689.0
 Focus,2005.0,Manual,101000.0,10,1.6,1449.0
 C Class,2019.0,Automatic,1497.0,Petrol,1.5,30999.0
 A4,2014.0,Manual,60604.0,Diesel,2.0,11950.0
 C Class,2019.0,Semi-Auto,8447.0,Diesel,2.0,29899.0
 A6,2015.0,Semi-Auto,74644.0,Diesel,2.0,12498.0
 Focus,2018.0,Manual,17478.0,Diesel,1.5,13799.0
 Q5,2019.0,Semi-Auto,4294.0,Diesel,2.0,33236.0
 A6,2019.0,Automatic,1200.0,Diesel,2.0,29990.0
 A3,2016.0,Manual,36151.0,Diesel,1.6,11100.0
 Q3,2019.0,Manual,10.0,Diesel,2.0,28490.0
 A4,2019.0,Semi-Auto,9880.0,Petrol,2.0,24998.0
 A5,2018.0,Automatic,5071.0,Petrol,2.0,24985.0
 A1,2016.0,Manual,31188.0,Petrol,1.0,10070.0
 Q5,2016.0,Automatic,36538.0,Diesel,2.0,21995.0
 Focus,2017.0,Manual,14176.0,Petrol,2.0,18998.0
 Q7,2015.0,Semi-Auto,56000.0,Diesel,3.0,24500.0
 A3,2019.0,Semi-Auto,5678.0,Petrol,1.5,24950.0
 Focus,2017.0,Manual,37820.0,Diesel,1.5,11290.0
 A3,2018.0,Semi-Auto,9087.0,Petrol,2.0,28995.0
 Focus,2016.0,Manual,19834.0,Petrol,2.0,16000.0
 A6,2017.0,Manual,47000.0,Diesel,2.0,13995.0
 A4,2018.0,Semi-Auto,16669.0,Diesel,2.0,24990.0
 C Class,2019.0,Semi-Auto,19204.0,Diesel,2.0,23498.0
 TT,2016.0,Manual,24256.0,Petrol,1.8,17995.0
 A3,2015.0,Manual,28895.0,Petrol,1.4,13990.0
 Focus,2018.0,Automatic,22587.0,Petrol,1.0,14500.0
 A4,2019.0,Automatic,2000.0,Diesel,2.0,23750.0
 C Class,2017.0,Semi-Auto,25584.0,32,2.0,18490.0
 A4,2014.0,Automatic,45411.0,Diesel,2.0,12995.0
 Q5,2019.0,Automatic,1000.0,Diesel,2.0,36202.0
 Focus,2019.0,Manual,12677.0,Petrol,1.0,16450.0
 A4,2016.0,Manual,55697.0,Diesel,2.0,13985.0
 RS4,2018.0,Automatic,23996.0,Petrol,2.9,49950.0
 Focus,2019.0,Manual,13762.0,Petrol,1.0,15335.0
 A1,2016.0,Manual,21263.0,Diesel,1.6,13500.0
 Q3,2018.0,Semi-Auto,15392.0,Petrol,2.0,24850.0
 A4,2019.0,Semi-Auto,5000.0,Petrol,2.0,25000.0
 A3,2019.0,Automatic,1304.0,Petrol,1.5,21990.0
 Q3,2015.0,Manual,83990.0,Diesel,2.0,11000.0
 A3,2019.0,Manual,2029.0,Petrol,1.0,15700.0
 Focus,2018.0,Manual,16165.0,Petrol,1.0,12900.0
 Focus,2019.0,Manual,2972.0,Petrol,1.0,17990.0
 A1,2015.0,Manual,29430.0,Petrol,1.4,11681.0
 RS4,2020.0,Semi-Auto,2200.0,Petrol,2.9,69995.0
 C Class,2017.0,Semi-Auto,21212.0,32,2.1,23999.0
 Q3,2016.0,Semi-Auto,16021.0,Diesel,2.0,19298.0
 A3,2016.0,Semi-Auto,43014.0,Diesel,2.0,16298.0
 Focus,2016.0,Manual,15000.0,Petrol,1.0,10495.0
 Q3,2014.0,Manual,28000.0,Diesel,2.0,13995.0
 C Class,2019.0,Semi-Auto,3342.0,Petrol,1.5,23399.0
 A4,2017.0,Manual,27622.0,Petrol,1.4,14500.0
 A4,2014.0,Semi-Auto,54713.0,Diesel,2.0,10495.0
 Q2,2019.0,Automatic,3000.0,Petrol,2.0,29000.0
 C Class,2019.0,Semi-Auto,5661.0,Petrol,1.5,26299.0
 Focus,2018.0,Manual,10783.0,Petrol,1.0,14999.0
 A1,2016.0,Manual,17392.0,Petrol,1.4,12499.0
 A1,2018.0,Manual,19500.0,Petrol,1.4,12950.0
 Focus,2019.0,Manual,2500.0,Petrol,2.3,28000.0
 C Class,2019.0,Semi-Auto,9026.0,Petrol,3.0,44399.0
 Focus,2017.0,Manual,27000.0,Petrol,1.0,11885.0
 C Class,2017.0,Automatic,12450.0,Petrol,4.0,44520.0
 C Class,2017.0,Automatic,24265.0,Diesel,2.1,23980.0
 A5,2019.0,Automatic,1870.0,Petrol,2.0,33950.0
 C Class,2019.0,Automatic,6370.0,Petrol,1.5,24799.0
 C Class,2019.0,Semi-Auto,7255.0,Diesel,2.0,32980.0
 A4,2013.0,Manual,82591.0,Diesel,2.0,9960.0
 A6,2017.0,Semi-Auto,41000.0,Diesel,3.0,23890.0
 A5,2014.0,Semi-Auto,66900.0,Diesel,2.0,12285.0
 Focus,2018.0,Manual,7498.0,Petrol,1.0,14299.0
 C Class,2017.0,Semi-Auto,45431.0,31,2.1,15250.0
 A3,2013.0,Semi-Auto,53364.0,Diesel,2.0,11999.0
 C Class,2018.0,Automatic,11319.0,26,1.6,18390.0
 Focus,2015.0,Manual,29901.0,Diesel,1.5,9498.0
 C Class,2019.0,Semi-Auto,4444.0,Petrol,1.5,24980.0
 A1,2014.0,Manual,58601.0,Petrol,1.4,8498.0
 Q7,2015.0,Automatic,74000.0,Diesel,3.0,20990.0
 Q5,2019.0,Automatic,1000.0,Diesel,2.0,34000.0
 Focus,2018.0,Manual,10242.0,Petrol,2.0,19747.0
 Q3,2019.0,Manual,2054.0,Diesel,2.0,27888.0
 C Class,2014.0,Manual,91430.0,31,2.143,10500.0
 C Class,2019.0,Semi-Auto,101.0,Petrol,3.0,42995.0
 A3,2013.0,Automatic,31244.0,Diesel,2.0,12499.0
 TT,2016.0,Semi-Auto,28475.0,Petrol,2.0,24995.0
 Q5,2015.0,Semi-Auto,59120.0,Diesel,2.0,17995.0
 A4,2005.0,Manual,87990.0,Diesel,3.0,4990.0
 A3,2020.0,Manual,1560.0,Diesel,2.0,23995.0
 A6,2019.0,Automatic,9534.0,Diesel,2.0,27750.0
 A1,2015.0,Manual,20042.0,Petrol,1.4,12995.0
 Q5,2019.0,Automatic,5291.0,Diesel,2.0,30900.0
 C Class,2015.0,Automatic,67150.0,Diesel,2.143,13000.0
 Focus,2019.0,Manual,8864.0,Diesel,2.0,19665.0
 Focus,2019.0,Manual,4198.0,Petrol,1.0,15510.0
 A6,2017.0,Automatic,24963.0,Diesel,2.0,20000.0
 Q3,2016.0,Manual,28186.0,Diesel,2.0,19000.0
 A5,2017.0,Semi-Auto,27049.0,Diesel,2.0,19498.0
 A6,2014.0,Semi-Auto,57700.0,Diesel,2.0,16450.0
 A5,2019.0,Automatic,97.0,Diesel,2.0,29495.0
 C Class,2019.0,Semi-Auto,6206.0,Petrol,1.5,25980.0
 Focus,2018.0,Manual,16853.0,Diesel,1.5,13000.0
 Q5,2016.0,Semi-Auto,28931.0,Diesel,2.0,18891.0
 C Class,2015.0,Automatic,32019.0,37,2.1,17690.0
 Focus,2019.0,Manual,1577.0,Petrol,2.3,29635.0
 Focus,2019.0,Manual,12627.0,Petrol,1.0,16400.0
 C Class,2018.0,Automatic,8962.0,Diesel,2.0,28374.0
 A1,2019.0,Semi-Auto,5000.0,Petrol,2.0,21750.0
 C Class,2017.0,Semi-Auto,23479.0,Petrol,2.0,23890.0
 A3,2020.0,Manual,3000.0,Diesel,1.6,21946.0
 C Class,2013.0,Automatic,69000.0,29,1.6,9995.0
 A3,2015.0,Semi-Auto,105200.0,Diesel,1.6,9999.0
 A3,2016.0,Manual,31524.0,Petrol,1.4,16800.0
 Q2,2017.0,Manual,18354.0,Petrol,1.4,19490.0
 C Class,2016.0,Semi-Auto,55877.0,38,2.1,17443.0
 C Class,2016.0,Semi-Auto,18246.0,Petrol,2.0,17999.0
 C Class,2019.0,Semi-Auto,930.0,Petrol,1.5,27199.0
 A3,2019.0,Manual,3530.0,Diesel,1.6,25950.0
 Q2,2019.0,Automatic,3883.0,Petrol,2.0,32990.0
 Q2,2019.0,Semi-Auto,3000.0,Petrol,2.0,32000.0
 C Class,2019.0,Automatic,3400.0,Petrol,1.6,25099.0
 Focus,2019.0,Manual,30.0,Petrol,1.0,16800.0
 Focus,2019.0,Manual,4380.0,Petrol,2.3,24990.0
 A4,2019.0,Manual,5790.0,Petrol,2.0,18998.0
 Q5,2015.0,Semi-Auto,56586.0,Diesel,2.0,17700.0
 A4,2013.0,Manual,68600.0,Petrol,1.8,8295.0
 Focus,2016.0,Manual,49974.0,Diesel,1.5,8498.0
 C Class,2017.0,Automatic,20179.0,31,2.1,18481.0
 Q2,2018.0,Manual,9215.0,Petrol,1.4,18900.0
 RS6,2016.0,Semi-Auto,28639.0,Petrol,4.0,47992.0
 Focus,2016.0,Automatic,19816.0,12,1.0,10290.0
 Focus,2019.0,Manual,4777.0,Petrol,1.0,16995.0
 Q7,2017.0,Automatic,21728.0,Diesel,3.0,35888.0
 Q3,2019.0,Manual,2550.0,Diesel,2.0,29799.0
 Focus,2017.0,Manual,14950.0,Petrol,1.0,10250.0
 A3,2016.0,Manual,41165.0,Diesel,1.6,10799.0
 C Class,2019.0,Semi-Auto,5572.0,Petrol,1.5,21980.0
 A3,2017.0,Manual,38837.0,Petrol,1.5,15991.0
 A4,2019.0,Automatic,6000.0,Diesel,2.0,29990.0
 Focus,2019.0,Manual,13765.0,Petrol,0.999,14489.0
 Q5,2016.0,Automatic,44419.0,Diesel,3.0,28698.0
 A3,2019.0,Manual,4557.0,Diesel,1.6,17400.0
 A6,2018.0,Automatic,27304.0,Diesel,2.0,20995.0
 Focus,2019.0,Manual,7600.0,Petrol,1.0,17000.0
 A3,2015.0,Manual,78205.0,Diesel,1.6,9705.0
 Focus,2017.0,Manual,33770.0,Petrol,2.0,16495.0
 A6,2017.0,Automatic,34026.0,Diesel,2.0,21699.0
 C Class,2018.0,Semi-Auto,8194.0,Diesel,2.0,23890.0
 Focus,2019.0,Manual,14021.0,Petrol,1.0,14460.0
 A4,2019.0,Automatic,3300.0,Diesel,2.0,25992.0
 A4,2016.0,Semi-Auto,37450.0,Diesel,3.0,19999.0
 A1,2015.0,Manual,36910.0,Petrol,1.0,10198.0
 Focus,2017.0,Manual,16546.0,Petrol,1.0,10797.0
 Q2,2018.0,Manual,11349.0,Diesel,1.6,19298.0
 Q3,2019.0,Automatic,7000.0,Diesel,2.0,32990.0
 Focus,2016.0,Manual,28576.0,24,2.0,14798.0
 Q7,2016.0,Semi-Auto,39889.0,Diesel,3.0,31495.0
 A5,2019.0,Automatic,2607.0,Petrol,2.0,28500.0
